planned performance;geplante Leistung, Leistungsvorgabe
compulsory saving;Zwangssparen
board of creditors;Gläubigerausschuss
inquiry;Anfrage
to make a special arrangement;eine besondere Absprache treffen
basic motion time;Grundzeit für eine Bewegung
copy;Kopie
specialized knowledge;besondere Fachkenntnisse
cooling-off period;Abkühlungsperiode
the course of action banks should follow;wie Banken vorgehen sollten
private deposit;private Spareinlage
transfer slip;Überweisungszettel
to embezzle money;Geld unterschlagen
error correction;Fehlerkorrektur
industrial medicine;gewerbliche Medizin
must be complete and precise;müssen vollständig und genau sein
end of quarter;Vierteljahresende
incoming call;eingehendes Gespräch
to break into a new market;in einem neuen Markt Fuss fassen
open truck;offener Lastwagen
nominal price;nomineller Preis
consignment of goods;Warensendung
encash;einlösen
full-time employee;Vollzeitbeschäftigter
encumbered;behindert, belastet, verschuldet
unconfirmed letter of credit;unbestätigtes Akkreditiv
misclassify;falsch klassifizieren
timekeeper;Zeitnehmer
costs of loss;Kosten des Untergangs, Kosten des Verlustes
freight conference;Frachtkonferenz, Frachtabsprache
marginal case;Grenzfall
recoup;sich entschädigen
unaccounted time;nicht belegte Zeit, nicht verrechnete Zeit
rise in interest;Zinsauftrieb
instruct;anweisen
work study officer;Zeitstudienbeamter
that payment will be made;dass Zahlung veranlasst wird
in default of appearance;bei Nichterscheinen
reminder advertisement;Erinnerungsanzeige
cash basis accounting;Einnahmen- und Ausgabenrechnung
outside;außerberuflich
Chancellor of the Exchequer;Schatzkanzler (Br.), Finanzminister
industrial psychology;Arbeitspsychologie, Betriebspsychologie
by all accounts;nach dem was man hört
non-deductible;nicht abzugsfähig
flush with;abschließend mit, eben, auf gleicher Ebene
spare parts;Ersatzteile
similar in terms;zu gleichen Bedingungen
frustration;Vereitelung, Verhinderung
credit squeeze;Kreditknappheit, Kreditbremse
to take a risk;ein Risiko übernehmen
authorized capital;autorisiertes Kapital
after-crop;Nachernte
silver coin;Silbermünze
ad rate;Anzeigenpreisstellung
in connection with such protest;im Zusammenhang mit einem solchen Protest
holograph;eigenhändig selbst geschrieben
measure of value;Wertmaß
good address;angesehene Wohnlage, angesehene Firma
nationality;Nationalität
assign;zuweisen
carat;Karat
impulse sales;Verkäufe durch spontane Kaufentschlüsse
date of expiration;Verfalltag
indifference curve;Indifferenzkurve
interim measures of protection;einstweilige Sicherungsmaßnahmen
recommend;empfehlen
official gazette;Amtsblatt
frank;frei machen
railroad traffic;Eisenbahnverkehr
replacement;Ersatz
for instance;zum Beispiel
negative goodwill;Kapitalrücklage
to act as trustee;als Treuhänder auftreten
payment of dividend;Zahlung der Dividende
office;Amt, Büro, Geschäftsraum, Amtssitz, Geschäftsstelle
paid tax;bezahlte Steuer
value date;Valuta
goods in process;Halbfertigwaren
extraordinary expenditure, extraordinary expenses;außergewöhnliche Aufwendungen
defect;Fehler, Mangel
debasement of food;Verfälschung von Nahrungsmitteln
the period specified;der vorgesehene Zeitraum
display material;Schaumaterial, Werbematerial
raise a credit;Kredit aufnehmen
rise in output;Produktionssteigerung
have your money ready;halten Sie Ihr Geld bereit
distribution costs;Vertriebskosten
on the dole;arbeitslos (Br.)
fiscal;fiskalisch
call loan;kurzfristiges Darlehen
workbench;Werkbank
accomplish;bewerkstelligen, fertigstellen, erreichen
return consignment;Rücksendung
capital gains tax;Kapitalzuwachssteuer, Vermögenszuwachssteuer
foreman;Meister, Werkmeister, Vorarbeiter
export regulations;Exportbestimmungen
art director;künstlerischer Leiter
carbon paper;Kohlepapier
controls for operating;Bedienungskontrollen
famine;Hungersnot
special bonus;Sonderprämie, Sonderzulage
sales office;Verkaufsbüro
may be amended;kann geändert werden
to stand to the rules;sich an die Regeln halten
let us establish a sound basis;lasst uns eine Grundlage schaffen
alter;ändern
sender;Absender
voluntary liquidation;freiwillige Auflösung
address for delivery;Lieferanschrift
unsecured debt;nicht abgesicherte Verbindlichkeit
display;ausstellen, Schaufensterdekoration
life assurance;Lebensversicherung
business reply card;Rückantwortkarte
nation;Nation
goods in bond;Ware unter Zollverschluss, Zollverschlussware
law-suit;Gerichtsverfahren
drawback;Nachteil, Missstand, Hindernis
bad debts insurance;Ausfallversicherung
jobbing;Börsenhandel, Gelegenheitsarbeiten verrichten
actual cash value;Barwert
through the nature of the packaging;der Natur der Verpackung innewohnend
keep out;fernhalten, abhalten
showroom;Musterzimmer
the necessary information;die notwendige Information
sales contract;Kaufvertrag
financial year;Geschäftsjahr, Rechnungsjahr
travel supplement;Reisebeilage
central committee;Zentralausschuss
cash price;Barpreis, Kassakurs
localization of industry;Ansammlung der Industrie
through one or more countries;durch ein oder mehrere Drittländer
foods;Lebensmittel
time card;Stechkarte
order bill of lading;Orderkonnossement
excessive indebtedness;Überschuldung
headhunting;Jagd nach qualifizierten Arbeitskräften
system;System
busy time;belegte Zeit, Belegungszeit
taxpayer, tax-payer;Steuerzahler
joint owner;Miteigentümer
upon approval by;mit Zustimmung von
entrepreneurial activity;Unternehmertätigkeit
indirect work;indirekte Arbeit, unproduktive Arbeit
long distance haulage;Lastenfernverkehr, Fernlastverkehr
expected loss;erwarteter Schadensumfang
entrust to one's safekeeping;zu getreuen Händen überlassen
strict;strikt
time deposit;Festgeld
ex works;ab Werk
sealed, sealed up;versiegelt
according to specification;nach genauen technischen Angaben
to lose one's job;seine Stelle verlieren
the purpose of this contract is;dieser Vertrag verfolgt den Zweck
zebra crossing;Zebrastreifen
first issue;erste Emission
notification;Zustellung, schriftliche Benachrichtigung
legal effect;rechtliche Auswirkungen
mass industrry;Massengüterindustrie
cash voucher;Kassenbeleg
for the protection of the goods;zum Schutz der Ware
pay under these rules;in Übereinstimmung mit diesen Regeln zahlen
mortgage note;Hypothekenauszug aus dem Grundbuch
storage capacity;Speicherkapazität
bill of cost;Abrechnung
theme melody;Erinnerungsmelodie, Titelmelodie
to recoup;schadlos halten
perform all his other duties;allen anderen Verpflichtungen nachkommen
clause about the quantity;Klausel betreffend die Quantität
free-port;Freihafen
preferred position;bevorzugte Plazierung, bevorzugte Stelle, Sonderplazierung
seek advice;Rat suchen
compilation;Zusammenstellung
under the present term;gemäß der vorliegenden Klausel
affluence;Reichtum
enterprise;Unternehmen, Unternehmung
post office box;Postschließfach
billing machine;Fakturiermaschine
assets;Aktivposten der Bilanz, Aktivseite der Bilanz
bank balance;Bankguthaben
special risks;besondere Risiken
provisional;provisorisch
source;Quelle
accept in blank;blanko akzeptieren
commission business;Kommissionsgeschäft
hold-up;Überfall, Stockung
at such other place;an dedem anderen Ort
achievement;Leistung
potential market;entwicklungsfähiger Markt
lost profit;entgangener Gewinn
overage of cash;Kassenüberschuss
usual in trade;handelsüblich
seasonal variations;Saisonschwankungen
luggage label;Gepäckanhänger, Gepäckaufkleber
call in a mortgage;eine Hypothek kündigen
forward rate;Terminkurs, Kurs für Termingeschäfte
in making this revision;bei der Erstellung dieser Neuausgabe
picture library;Bilderarchiv, Bildarchiv
transparent pack;Klarsichtpackung
penalty clause;Klausel betreffend die Vertragsstrafe
take-home-pay;Nettolohn
attractiveness;Attraktivität
at the latter's request;auf Verlangen des letzteren
inactive;ruhend, nicht aktiv, nicht belebt, untätig
movement of labour;Abwanderung der Arbeitskräfte
check-up;Überprüfung
infant;Kind
sluggish;lustlos
capital flight;Kapitalflucht
similar credit;gleiches Akkreditiv
document of title;Dispositionsdokument
to act on behalf of the court;im Namen des Gerichts handekn
advance freight;Frachtkosten vorschießen
price of put;Rückprämienkurs
industrial accident;Betriebsunfall, Arbeitsunfall
local advertising;lokale Werbung, Werbung am Ort
over such a long period;über einen solch langen Zeitraum
propose;vorschlagen
authorize a payment;eine Zahlung anweisen
control of operations;Betriebsüberwachung
damaged at sea;zur See beschädigt
alien employee;Gastarbeiter, Fremdarbeiter
operate;tätig sein, betätigen, arbeiten
loco;am Ort
place an order for sth.;einen Auftrag für jemanden plazieren
educate;erziehen
to hold an auction;versteigern, eine Versteigerung abhalten
standard;Standard
world language;Weltsprache
research and development activities;Forschungs- und Entwicklungstätigkeiten
brand choice;Auswahl unter Marken
to disclose a secret;ein Geheimnis preisgeben
peripheral equipment;Zusatzausstattung
floating assets;Betriebskapital, Umlaufvermögen
preliminary announcement;vorläufige Ankündigung, Voranzeige
promising;Erfolg versprechend, vielversprechend
where;required soweit erforderlich
overrule;außer Kraft setzen, umstoßen, aufheben
shrinkage;Schrumpfen, Minderung, Schrumpfung
evening newspaper;Abendzeitung
are of three kinds;gehören drei Kategorien an
bestseller;Verkaufsschlager
price limit;Preisgrenze
sell by description;nach Beschreibung verkaufen
contractor;Unternehmer
notice of loss;Verlustanzeige, Verlustmeldung
timetable;Fahrplan
receive in payment;in Zahlung nehmen
channel of supply;Versorgungsweg
throw-away;Handzettel
aptitude;Eignung, Eignung für eine Tätigkeit
social insurance contribution;Sozialversicherungsbeitrag
hiring of men;Anheuern von Leuten
capital demand;Kapitalbedarf
short-time;kurz
shareholdings;Aktienbesitz
unclear instructions;unklare Weisungen
vulnerable;verletzbar
utility;Nützlichkeit, Nutzen
maximum likelihood;größte Wahrscheinlichkeit
absence of authority;Fehlen der Vollmacht
purchasing cartel;Einkaufskartell
excess payment;Überzahlung
product test, product testing;Warentest
out-do;ausstechen
they are placed at his disposal;sie ihm zur Verfügung gestellt worden ist
primary boycott;direkter Boykott
world trade;Welthandel
development of trade;Entwicklung des Handels
shopping centre;Einkaufszentrum, Ladenstraße
discharge from liability;einer Verbindlichkeit entheben
secretarial desk;Sekretärinnenschreibtisch
safety of the state;Staatssicherheit
sale by auction;Verkauf durch Versteigerung
extension of business;Erweiterung des Geschäfts
overriding;vorrangig
cost allocating;Kostenzuordnung
lower case letters;Kleinbuchstaben
difficulties;Schwierigkeiten
presentation for payment;Vorlegung zur Zahlung
forgery of a cheque;Fälschung eines Schecks
answer box;Antwortkästchen
community;Gemeinde
houseowner's insurance policy;Hausrats- und Haftpflichtversicherung
imperfect;unvollkommen, mangelhaft
credit in blank;Blankokredit
letter of indemnity;Ausfallbürgschaft
the documents are tendered;die Dokumente werden vorgelegt
handling of cargo;Umschlag der Ware
particular average;besondere Haverie
payable to us;zahlbar an uns
certified copies thereof;beglaubigte Abschriften davon
manufacturer's brand;Herstellermarke
loose;lose
exertion;Anstrengung
to do sth.;etwas tun
partial shipment;Teilverschiffung
attribute;Eigenschaft, Qualitätsmerkmal
unable to earn one's living;erwerbsunfähig
to obtain acceptance;um Akzeptierung zu erlangen
cost account;Unkostenaufstellung
rag and bone man;Lumpensammler
statistical;statistisch
night duty;Nachtdienst
obsolete material;veraltetes Material
conclusion of a contract;Vertragsabschluss
body movement;Körperbewegung
appropriation of payments;Zweckbestimmung von Zahlungen
yellow journal;Revolverblatt
make presentation for payment;zur Zahlung vorlegen
capital goods;Investitionsgüter, Produktionsgüter
save costs;Kosten sparen
dishonoured bill;notleidender Wechsel
reaching area of the hands;Reichweite der Hände, Griffbereich
production planning;Fertigungsplanung, Produktionsplanung
banking circles;Bankkreise
industrial psychologist;Arbeitspsychologe
commercial traveller;Handelsreisender
out-dated;überholt, veraltert
including a bill of exchange;das einen Wechsel einschließt
repay;zurückzahlen
indidentals;unvorhergesehene Ausgaben
other assets;sonstiges Vermögen
legitimate complaint;berechtigte Beschwerde
by habit;aus Gewohnheit
holder of a position;Stelleninhaber
impressed;beeindruckt
subject to approval;von der Genehmigung abhängig
entrusted with the protection of goods;betraut mit dem Schutz der Ware
carriage by rail;Bahntransport
scientist;Wissenschaftler
political;politisch
rating;Bewertung, Einstufung, Einschätzung des Leistungsgrads
line of goods;Artikelserie, Sortiment
external aid;Auslandshilfe
working conditions;Arbeitsbedingungen
annual earnings;Jahresverdienst
bona fide purchaser;gutgläubiger Erwerber
export permit;Ausfuhrbewilligung
not sufficient funds;keine Deckung
floor space;Nutzfläche
utopian;utopisch
raise an objection;Einwand erheben
for advising any amendments;zur Anzeige eventueller Änderungen
top management;Führungsspitze, Unternehmensleitung
director of studies;Studiendirektor, Studienleiter
jobbery;Schiebung
forward purchases;Terminkäufe
opinion of an expert;Gutachten eines Sachverständigen
leasing;Mieten von Anlagen, Pachten, Mieten, Vermietung von Maschinen
export credit insurance;Exportversicherung
shorthand typist;Stentypistin
to include excessive detail;zu weit gehende Einzelheiten aufnehmen
go abroad;ins Ausland gehen
coefficient;Koeffizient
focal point;Brennpunkt, Blickpunkt
by means of;mittels
inland loan;Inlandsanleihe
collection of data;Datenerfassung, Erfassung von Daten
favourable balance;günstige Bilanz, Aktivbilanz
price adjustment;Preisangleichung
progress report;Tätigkeitsbericht
letter of acknowledgement;Bestätigungsschreiben, Empfangsbestätigung
monthly dues;monatlich fällige Zahlungen
borrower;Entleiher, Borger, Kreditnehmer
fortnight;vierzehn Tage, zwei Wochen
civil service;öffentlicher Dienst
part time;Teilzeit
improvement of living conditions;Verbesserung der Lebensbedingungen
vacation;Urlaub (US), Ferien (US), Räumung
usage;Brauch, Gepflogenheit
face amount of a share;Nennwert einer Aktie
leading questions;Suggestivfragen
incidental costs;indirekte Kosten, Nebenkosten
individual deposits;Einlagen von Privatpersonen
origin;Ursprung
long-term deposit;langfristige Einlage
the cost of hiring tarpaulins;die Kosten für die Miete der Planen
listed;auf der Börsenliste
differ;sich unterscheiden, abweichen
price consciousness;Preisbewusstsein
accountancy;Rechnungswesen
settle payments;Zahlungen leisten
financing company;Finanzierungsgesellschaft
savings department;Sparkassenabteilung
attest;bescheinigen
to know from hearsay;vom Hörensagen wissen
drawer;Aussteller
the complete catalogue;der vollständige Katalog
expulsion;Ausschluss, Vertreibung
carbon copy;Durchschlag, Kopie
cost reduction;Kostendämmung
objectionable;verwerflich
tax on real estate;Grundstücksbesteuerung
certification of a cheque;Deckungsbestätigung eines Schecks
a load less than a wagon;eine Ladung geringer als eine Waggonladung
foreign debts;Auslandsschulden
government grant;staatlicher Zuschuss
editorial office;Redaktion
package deal;Angebot als Paket, Pauschalangebot, Pauschalgeschäft
floorspace;Bodenfläche
to make a market;Nachfrage hervorrufen
preferential shareholder;Vorzugsaktionär
to acquire a title;einen Anspruch erwerben, ein Anrecht
esteem;Achtung, Hochschätzung
payment on delivery;Zahlung bei Lieferung
collection expenses;Inkassokosten
excerpt;Auszug
gold inflow;Goldzufluss
boycotting;Boykottierung
worth the money;preiswert
to call at a port;einen Hafen anlaufen
population group;Bevölkerungsgruppe
accept as pledge;als Pfand annehmen
belonging together;zusammengehörig
to abandon an option;auf die Option verzichten
expedient;zweckmäßig
enter into force as from;treten in Kraft am
pattern of growth;Struktur des Wachstums, Wachstumsstruktur
controlled company;untergeordnetes Unternehmen
feather-weight paper;federleichtes Papier
machine shop;Maschinenabteilung
investor;Kapitalanleger, Kapitalgeber
access to markets;Zugang zu Märkten
destination;Bestimmungsort, Löschungshafen
production;Produktion,Ausbringung, betriebliche Leistung
marketing research;Marktforschung
gauge;Spurweite
contract for delivery;Liefervertrag
warehouse rent;Lagermiete
earning power;Ertragskraft
low-level;auf niedriger Stufe, auf niedriger Ebene
retailer;Einzelhändler
evening mail;Abendpost
at the latter's expense;auf Kosten des letzteren
in accordance with the terms;in Übereinstimmung mit den Richtlinien
employee benefits;Sozialleistungen
permanent employee;Angestellter im Dauerarbeitsverhältnis, festangestellter Beschäftigter
works number;Werknummer
restrictive endorsement;Indossament ohne Obligo
investigator;Befrager, Untersucher
active competition;lebhafte Konkurrenz
cent;Cent (US)
planning operation, planning process;Arbeitsvorbereitung
wall lights;Wandleuchten
flat rate;Grundpreis, Pauschalsatz, einheitlicher Satz
reinforce;verstärken, bekräftigen
writing materials;Schreibmaterial, Schreibbedarf
clearing ttime;Abrüstzeit
nominal par;Nennwert
fail to give instructions;es versäumen Anweisungen zu geben
present contract;vorliegender Vertrag
organization chart;Organisationsplan, Organisationsschema, schematische Aufstellung der Organisation
stock requisition;Entnahmeschein
function;Funktion
to state explicitly;ausdrücklich angeben
consular charges;Konsulatsgebühren
abandon an adventure;ein Abenteuer aufgeben
group basis;Gruppennorm
element breakdown of an activity;Zerlegung in Einzelarbeitsvorgänge
forward exchange rate;Devisenterminkurs
to transact business;Geschäfte durchführen
invisible imports;unsichtbare Einfuhren
notice to quit;Aufkündigung des Pachtvertrages
world economic crisis;Weltwirtschaftkrise
on the part of the advising bank;seitens der avisierenden Bank
shall not include;soll nicht beinhalten
corner the market;einen Aufkäuferring binden
discussion group;Diskussionsgruppe
to cancel an appointment;eine Berufung widerrufen
money at one month;Monatsgeld
improvement bonds;Art von Kommunalanleihe
planning analyst;Planungsanalytiker
breach of trust;Vertrauensbruch
uses the services of another bank;sich der Dienste einer anderen Bank bedient
prefer the certainty of;die Sicherheit vorziehen
catchline;Schlagzeile
spare man;Springer
paid-up capital;eingezahltes Kapital
part-time farme;Nebenerwerbslandwirt
debts in arrears;rückständige Forderungen
particular custom;besonderer Handelsbrauch
some of the costs payable;einige der Kosten
discount a bill;einen Wechsel diskontieren
link;Verbindung, Verbindungsglied
the seller must pay the costs;der Verkäufer muss die Kosten tragen
face-to-face;von Angesicht zu Angesicht
falsifier;Fälscher eines Dokuments
run off;ablaufen
ambiguity;Mehrdeutigkeit
specific training;Sonderausbildung
bill of entry;Zollanmeldung
discount for large orders;Rabatt für Großaufträge
an exceptional offer;ein außergewöhnliches Angebot
broad interpretation;weite Auslegung
engaged in a business;an einem Geschäft beteiligt
at a price of;zum Preise von
performance of duty;Erfüllung der Pflicht
failing agreement;sofern kein Übereinkommen vorliegt
bonus scheme;Prämienlohnsystem, Prämiensystem
to stick a bill;ein Plakat ankleben
remittance in cash;Barsendung
term of a loan;Laufzeit eines Darlehens
clean bill;einwandfreier Wechsel
we are planning a fair;wir planen eine Messe
cash out;Kassenausgang
journal;Zeitschrift, Journal
the disposal of the buyer;die Verfügung des Käufer
change of position;Stellungswechsel, Wechsel der Stellung
by will;durch Testament
the resultant development;die sich hieraus ergebende Entwicklung
home address;Heimatanschrift, Privatanschrift
coined money;Hartgeld
holiday work;Ferienarbeit
prescribed by the regulations;vorgeschrieben aufgrund der Bestimmungen
payment of rent;Zahlung der Miete
normal deviation;Normalabweichung
effective forthwith;sofort in Kraft
practicability;Durchführbarkeit
violation;Verstoß, Übertretung
capital expenditure;Kapitalaufwand, Kapitaleinsatz
gold parity;Goldparität
lockout;Aussperrung
item of an invoice;Rechnungsposten
packing paper;Packpapier
accommodate;entgegenkommen, unterbringen
loss assessment;Abschätzung des Schadens,Schadensfeststellung
journey discount;vom Reisenden gewährter Kundenrabatt
to grant a delay;einen Aufschub bewilligen
weekly rent;Wochenmiete
dwindling;schwindend, Schwund
poor beggar;armer Bettler
the maximum possible guidance;das Höchstmaß an möglicher Unterstützung
loans to industry;Industriedarlehen
postal district;Postbezirk
volume;Umfang, Band, Volumen
export firm;Exportfirma
bearer bonds;Inhaberobligationen
market position;Marktposition
fiscal system;Finanzsystem, Steuersystem
Eurocard;Eurokreditkarte
hotel chain;Hotelkette
mortgage rate;Hypothekensatz
one third;ein Drittel
foreign market;Auslandsmarkt
municipal tax;Gemeindesteuer
is transferred;geht über
job factor;Arbeitsplatzbewertungsmerkmal
night-work;Nachtarbeit
expected interruption;erwartete Unterbrechung
eye catcher;Blickfang
deficiency;Defizit, Fehlbetrag
matter of discretion;Ermessensfrage
circular trip;Rundreise
easing in money rates;Abschwächung der Geldsätze
in default of delivery;mangels Lieferung
we carry on a wholesale business;wir führen ein Großhandelsgeschäft
usefulness;Nützlichkeit
where acceptance is called for;wenn Akzeptierung verlangt wird
rate of underutilization;Nichtnutzungsgrad
open mortgage;nur zum Teil genutzte Hypothek
urgency;Dringlichkeit, Eile
testing of products;Warentest
fill in;ausfüllen
fully paid;voll eingezahlt
learn;lernen
local custom;Ortsgebrauch, örtlicher Handelsbrauch
and/or taxes;und/oder Steuern
payable in local currency;in örtlicher Währung zahlbar
active securities;gefragte Wertpapiere
priceless;unbezahlbar
follow up a matter;etwas weiter bearbeiten, verfolgen
handling of goods;Güterumschlag, Umschlag einer Ware
cost of marketing a product;Vetriebskosten
batch card;Laufkarte für eine Serie
close an account;ein Konto schließen, abschließen
impact;Bedeutung, Einwirkung
forfeiture of a patent;Verfall eines Patents
obsolescence rate;Alterungsgeschwindigkeit
risk of non-payment;Gefahr der Nichtzahlung
National Health Service;staatlicher Gesundheitsdienst (Br.)
peaceful coexistence;friedliche Koexistenz
by retail;en detail
deferred item;Übergangsposten
re;bezüglich
oversize;Übergröße
basic element of an activity;Grundelement einer Tätigkeit
lend money on an insurance policy;eine Versicherungspolice beleihen
penal code;Strafgesetzbuch
instruments used for;Dokumente verwendet zum
fashionable;modisch
reduced duty;gekürzte Zollabgabe, reduzierte Steuer
vaccination;Impfung
pay in cash;in bar bezahlen
standard time;Akkordzeit, Vorgabezeit, Standardzeit
valuation;Bewertung
legal action;gerichtliches Vorgehen
closed;geschlossen
nominal account;Sachkonto, totes Konto
professional labour market;Markt akademisch gebildeter Arbeitskräfte, Markt beruflich qualifizierter Kräfte
reserve for redemption;Tilgungsrücklage
capital levy;Kapitalabgabe, Kapitalsteuer
vitamine;Vitamin
after-hour dealings;Geschäfte nach Börsenschluss
agriculture;Landwirtschaft
administrative commission for conciliation;Vergleichs-Hauptausschuss
engineering figures;technische Daten
patent application;Patentanmeldung, Patentantrag
maker of a bill;Aussteller eines Wechsels
sale to the highest bidder;Zuschlag an Meistbietenden
certificate of clearance;Zolfreigabeschein
business;Geschäft
we have the quorum;wir sind beschlussfähig
stop a cheque;ein Scheck stoppen
in transit of any messages;bei der Übermittlung von Nachrichten
uncovered credit;ungedeckter Kredit
key source;Hauptquelle
enclosed you will find our packing instructions;Verpackungsvorschriften anbei
physical strain;körperliche Beanspruchung
family size package;Haushaltspackung, Familienpackung
dividend coupon;Dividendencoupon
qualified as to time;die Zeit einschränkendes Akzept
reproduce;reproduzieren
degree of probability;Grad der Wahrscheinlichkeit
to stand to the regulations;sich an die Vorschriften halten
for the goods to be landed;dass die Ware gelöscht wird
marketing policy;Marketingpolitik, Vertriebspolitik, Absatzpolitik
backlog;Rückstand
industrial facilities;Fertigungsanlagen
detail;Einzelheit
abide by a decision;sich an eine Entscheidung halten
leadman;Vorarbeiter (US)
co-operator;Mitarbeiter
cooperative bank;Genossenschaftsbank
receive the goods;die Ware abnehmen
file card;Karteikarte
satisfied customers;zufriedene Kunden
override;aufheben
fit;geeignet, anpassen
labour;Arbeit
break even;gerade noch Gewinn machen
time loan;Darlehen mit festgelegter Laufzeit
joint;gemeinsam, verbunden
ampersand;&-Zeichen
gold price;Goldpreis
salesgirl, saleslady;Verkäuferin
evaluation sheet;Bewertungsbogen
the banks concerned with the collection;die mit dem Inkasso befassten Banken
media mix;Mischung der Werbeträger
damages for non-performance;Schadensersatzanspruch wegen Nichterfüllung
template;Schablone
manageable;leicht zu handhaben
vacancy;Stellenangebot, leere Stelle, freie Stelle
raising of funds;Aufbringung von Geldern, Sammlung
relocate;verlagern
pollution;Verschmutzung, Umweltverschmutzung
buyer's market;Käufermarkt
for the settlement of business disputes;Beilegung geschäftlicher Streitigkeiten
manufacturers' agent;Vertreter der Hersteller
share capital;Aktienkapital
dividend on capital;Kapitaldividende
consumer goods industry;Verbrauchsgüterindustrie
billing clerk;Fakturist
critical time;Grenzzeit
fatal accident;tödlicher Unfall
virtual;wirklich, virtuell
irrecoverable debt;uneinbringliche Forderung
treasury;Schatzamt
board of control;Kontrollstelle
occupational distribution;Verteilung nach Berufen
misstatement;falsche Erklärung
fill in a form;ein Formblatt ausfülen
on record;in den Akten
or else;anderenfalls
ensure;absichern
advance against documents;Vorschuss gegen Dokumente
no funds;keine Deckung
absolute value;absoluter Wert
debit an account;ein Konto belasten
clearing item;Abrechnungsposten
voucher;Gutschein
effortless;mühelos
learner rate;Anlernlohnsatz
accounts payable;Kreditoren, Verbindlichkeiten, Schuldposten
warehouse receipt;Lagerempfangsschein
satisfy;zufriedenstellen
carriage paid to ...;frachtfrei bis ...
armed conflict;bewaffnete Auseinandersetzung
transport empty;hinlangen
business statistics;Wirtschaftsstatistik
allottee;Anteilhaber, Zeichner dem Aktien zugeteilt werden
central buying;Zentraleinkauf
surplus profit;Mehrgewinn
capacity to;work Arbeitsfähigkeit
surplus gold;Goldüberschuss
specific function;Sonderaufgabe
staff member;Belegschaftsmitglied
job completion;Erledigung der Aufgabe
full employment;Vollbeschäftigung
possess;besitzen
object insured;versicherter Gegenstand
invoiced amount;Rechnungsbetrag, berechnete Betrag
dishonouring of a B/L;Nichthonorierung eines Wechsels
information centre;Informationsstelle
trust administration;Vermögensverwaltung
furnish;versehen
were later made;wurden später gemacht
cash letter;Brief mit eingelegten Barmitteln
worn bank notes;abgenutzte Banknoten
ultimo;letzter Tag des Monats, letzter Monat, Vormonat
wrongful;unrechtmäßig
training opportunities;Ausbildungsmöglichkeiten
border traffic;Grenzverkehr
demonstration worker;Vorführer, Vorführarbeiter
to show through;durchscheinen
mortgage bond;Hypothekenpfandbrief
co-operative advertising;gemeinsame Werbung
cheque;Scheck (Br.)
dismantle;auseinandernehmen
payable by cheque;zahlbar mittels Scheck
the realities;die tatsächlichen Gegebenheiten
ratio;Verhältnis, Verhältniszahl
accident prone;zu Unfällen neigend
unbiased;unvoreingenommen
recall money;ein Darlehen kündigen
abolition of tariff walls;Abschaffung der Zollschranken
permanent inventory;laufende Inventur
diagram;Diagramm, Schaubild
call a strike;einen Streik ausrufen, zum Streik ausrufen
exporting;ausführend, Ausfuhr
costs resulting from this;sich hieraus ergebende Kosten
unavailable;nicht erhältlich, nicht verfügbar
pattern of competition;Struktur des Wettbewerbs
punched card;Lochkarte
faulty;fehlerhaft
journeyman;Handwerksgesell, Geselle
subscriber;Bezieher, Zeichner
industrial economics;industrielle Betriebswirtschaftzslehre
secretarial job;Büroarbeit
regarding;bezüglich
saving of energy;Energieeinsparung
accessory;Mitschuldiger
outline;umreißen, Umriss
affiliate;sich angliedern, zusammenschließen
arithmetic mean;arithmetisches Mittel
order ticket;Bestellschein
collection of patterns;Kollektion von Ausfallmustern
final inspection;Endkontrolle
civil action;Zivilklage
exact time;genaue Zeit
management development;Heranbildung des Führungsnachwuchses
containerize;auf Container umsteigen, in Container verladen
fair price;angemessener Preis
irregular employment;unregelmäßige Beschgäftigung
a falsified document;eine gefälschte Urkunde
bottom;Boden, unten
application study;Anwendungsstudie
steadiness;Stetigkeit, Stabilität
land credit;Bodenkredit
liable;verantwortlich
complete;ausfüllen, vollständig
negotiating bank;verhandelnde Bank
collection by hand;Inkasso durch Boten
typewritten;maschinengeschrieben
to borrow money at a low;rate of interest zu einem niedrigen Zinssatz borgen
pending further notice;bis auf weiteres
excess of population;Überbevölkerung
gold standard;Goldstandard
ready to use;schlüsselfertig
last will;Testament
payable;zahlbar
prepare;vorbereiten
sum of indemnity;Schadensersatzbetrag
piece of land;ein Stück Land
revolving credit;sich erneuernder Kredit
diplomatic body;diplomatische Korps
ticket;Fahrkarte, Flugschein, Schein, Zettel
removal expenses;Umzugskosten
mail questionnaire;zugesandter Fragebogen
commodity index;Warenverzeichnis
highly trained employee;hochqualifizierte Arbeitskraft
protection of goods;Schutz der Ware
decrease of prices;Abnahme der Preise
fulfilment of a plan;Planerfüllung
monatary agreement;Währungsabkommen
observation;Beobachtung, Beachtung
passage in transit;Durchfuhr
sell best;sich bestens verkaufen
sales drive;Verkaufskampagne
increase of consumption;Erhöhung des Verbrauchs
sales training;Verkaufsschulung, Verkäuferschulung
by degrees;allmählich
error detection;Fehlererkennung
on-site parking;Parken im Firmengelände
president;Präsident
interim balance sheet;Zischenbilanz
apprentice training;Lehrlingsausbildung
target group;Zielgruppe
surplus population;Bevölkerungsüberschuss
hard currency;harte Währung
slide back;rückfällig werden
to determine as above;wie oben zu entscheiden
bribery;Bestechung
notice of meeting;Ladung zu einer Konferenz
