primevère à feuilles entières;Ganzblättrige Schlüsselblume
accessible;erhältlich / zugänglich
guatémaltèque;guatemaltekisch
la Chypre;Zypern
rebondir;abprallen
anthropologiste, anthropologue;Anthropologe
l'aiguille de montre (f);Zeiger / Nadel
la Malte;Malta
le pissenlit;Löwenzahn, Hundeblume
la grive;Drossel
le trésor;Schatz, Tresor
Ostende;Ostende
soldanelle petit;Zwerg-Troddelblume
donner;erteilen, geben, herreichen / ausgehen, ausrücken / verbringen, zubringen
le chameau;Kamel
se brunir, bronzer;bräunen
déshabiller;entkleiden
l'Andorre (f);Andorra
l'avancement (f);Beschleunigung / Promotion
la couleuvre;Hausschlange / Natter, Kreuzotter, Viper
le point culminant;höchster Punkt, Apogäum, Gipfel, Spitze, Kulminationspunkt, Höhepunkt
l'écurie (f), l'étable (f);Stall
le Œdipe;Ödipous
linaire;Leinkraut
le don;Geschenk, Spende, Vermächtnis / Gabe / Mitgift / Opfer / Talent
le cylindre;Walze, Zylinder
antipode;Antipode, Gegenfüßler
le cil;Augenwimper, Wimper
autistique;autistisch
le biscuit;Zwieback
cerisier des oiseaux, merisier;Süßkirsche, Vogelkirsche
le royaume;Königreich
antiseptique;antiseptisch, fäulniswidrig
bander;verbinden / aufziehen, spannen, anspannen, ausspannen, straffen
la cassette;Kassette / Schatz, Tresor
le rame, l'aviron (m);Ruder
la trompe;Rüssel
rose de Noël;Christrose, Schwarze Nieswurz, Schneerose
fondre;tauen, auftauen / gießen
l'intermédaire (m);Vermittlung
alpha;Alpha
la migraine;Migräne
l'osier (m);Korbweide
la tempe;Schläfe
Hermès (m);Hermes
la ruche;Bienenkorb, Bienenstock
la Lorraine;Lothringen
l'acoustique (f);Akustik
le pétrole;Petroleum
le phénol;Phenol, Karbolsäure
constamment;immer, stets
le restaurant;Restaurant, Restauration
Wasselonne;Wasselnheim
courbe;gebogen, krumm
dedans;binnen, inne, innerhalb, inwendig
le tambour;Trommel
essuyer;wischen
rembourser;vergelten
le bélier;Widder
l'Athénien (m);Athener
hongrois;ungarisch
feldspath;Feldspat
la morue;Dorsch, Kabeljau
bailli;Vogt
être indulgent;nachsichtig sein, schonen, verschonen
le baptême;Taufe
le pollen;Pollen
le maquereau;Makrele
bactériologie;Bakteriologie
balise;Boje
distraire;zerstreuen
faucher;mähen, abmähen
la Messine;Messina
le faux;Hippe, Sense
la Bethléem;Bethlehem
virginal, vierge;jungfräulich, rein, unberührt
le lambris;Paneel, Täfelung
Apache;Apache
supprimer;austilgen, ausrotten, tilgen, vertilgen / abschaffen, beseitigen, entfernen, fortschaffen, wegbringen / abrechnen, liquidieren / annullieren, für null und nichtig erklären, kassieren
la nacre;Perlmutter, Permutt
le chariot, la charrette;Fuhre, Karren
la tapisserie;Tapete
l'anatomie (f);Anatomie, Zergliederungskunst
le perce-neige;Schneeglökchen
le soutien;Stütze / Untersatz
la friandise;Süßigkeit / Leckerbissen, Näscherei
ravissant;entzückend / allerliebst, anmutig, hold, lieblich, reizend
le Tatare;Tatar
la luzerne;Luzerne
le reliquat, la solde;Saldo
la baie;Beere / Bucht
la tourbe;Torf
apposer;anlegen, beifügen
la Sibérie;Sibirien
le gros baiser;Schmatz
armoise Genépi;Schwarze Edelraute
Autelbas;Nieder-Elter
éloquent;beredsam, beredt, eloquent
le messager;Bote / Eilbote, Kurier
phaques des Alpes;Alpen-Blasenschote, Blasen-Tragant
la Bourgogne;Burgund
flamand;flämisch, flandrisch
Butgenbach;Bütgenbach
le goret, le cochonnet;Ferkel
l'angle droit (m);rechter Winkel
la prudence;Umsicht
archéologue;Archäologe, Altertumswissenschaftler
le calendula;Ringelblume
le réglement;Satzungen, Statut
la bagarre, le barouf;Aufruhr, Aufstand, Getümmel, Krawall, Tumult
le Chanaan;Kanaan
la bécasse;Schnepfe
déployer;entfalten
anémone des Alpes;Alpen-Küchenschelle
confus;verstört
maçonner;mauern
la Byzance;Byzanz
la puce;Floh
sinistre;grausig
Schoenberg;Schönberg
abyssin;abessynisch
la Macédoine;Mazedonien
allaiter;säugen
la langouste;Heuschreckenkrebs, Languste
la lame tranchante;Klinge
intelligent;einsichtsvoll, intelligent, verständig
le représentant;Abgeordneter, Delegierter / Makler / Vertreter, Stellvertreter
le forum;Forum
administrer;verwalten
l'arrière-grand-père (m);Urahn, Urgroßvater
rhapontique;Alpen-Scharte
la Chandeleur;Lichtmeß
le Bédouin;Beduine
ancolie vulgaire;Wald-Akelei
dépasser;vorstehen / vorbeigehen, vorübergehen / bewältigen, überflügeln, übersteigen, überragen, übertreffen / übergeben, übertreten
pavoiser;flaggen
le maïs;Mais
l'artifice (m);Ausflucht
agglutinant;agglutinierend
prématuré;vorzeitig
adoptif;Adoptiv...
cirer;bohnern, (Schuhe) putzen / mit Wachs einschmieren, wachsen
le buffet;Büfett, Schankraum
Fosse rhénane;Oberrheinische Tiefebene
la substance;Substanz
Imbringen;Imbringen
rebelle;widerspenstig / abtrünnig / aufrührerisch
la truelle;Kelle
la dysenterie;Ruhr
amande à coque tendre;Knackmandel, Krachmandel
l'orateur (m);Redner, Sprecher
le stylographe;Füllfederhalter, Füller
astrologique;astrologisch
la perte;Verlust / Untergang, Verderbnis
faciliter;erleichtern
coopérant;kooperativ, genossenschaftlich
Sélestat;Schlettstadt
l'arsenic (m);Arsenik
le Bade, la baignade;Baden
la température;Temperatur, Witterung
epilobe;Feuerkraut, Weidenröschen
terminer;beschließen, enden, beenden, endigen, beendigen, erledigen / unterbrechen
écœurer;ekeln, anekeln, anwidern, Ekel erregen, mit Widerwillen erfüllen
consoler;trösten, Trost spenden
le Java;Java
gentiane de Hongrie;Ungarn-Enzian
le laïc;Laie
nigritelle;Kohlröschen
le genêt;Ginster / Stiel, Federgras, Stengel
le luthérien;Lutheraner
la République centrafricaine;Zentralafrikanische Republik
s'obstiner;sich eigensinnig in den Kopf setzen, trotzen
aronde, hirondelle (f);Schwalbe
pétrir;kneten
misérable;erbärmlich / elend, jämmerlich
absorber;absorbieren / aufsaugen, einsaugen, schlürfen, einschlürfen
Eischen;Eischen
bauxite;Bauxit
le vœu;Gelübde, Gelöbnis
la douche;Dusche, Sturzbad
pauvre;erbärmlich / arm / elend, jämmerlich
la Corée du Nord;Nordkorea
arack;Arrak, Reisbranntwein
dryade, chênette;Silberwurz
le cerfeuil;Kerbel
l'allégorie (f);Allegorie, Sinnbild
envier;beneiden
le minéral;Mineral
Châtenois;Kestenholz
le bagage, le colis;Gepäck, Verpackung
Sambre;Sambre
la banderole;Papierstreifen
l'antenne (f);Rahe, Fühler, Antenne
l'appareil administratif (m), la machine administrative;Verwaltungsapparat
pittoresque;malerisch
la Cendrillon;Aschenbrödel
le dessin animé;Zeichentrickfilm
chatouiller;kitzeln
anonymat;Anonymität
barbaresque;barbarisch
avidité;Begierde, Gier
le microbe;Mikrobe
briser;zermalmen, zerschmettern / brechen, abbrechen, aufbrechen
avoir le hoquet, hoqueter;schluchzen
Genève;Genf
l'acupuncture (f);Akupunktur
assaisonner;würzen
le roc;Fels, Felsen, Steinmasse
anaconda;Anakonda
le purin;Jauche
l'artillerie (f);Artillerie
le Sénégal;Senegal
rejeter par intolérance;ausstoßen, bannen / verdrängen / hinauswerfen
l'alligator (m);Alligator
l'asperge (f);Spargel
le terrier;Bau (eines Tieres)
l'Alexandre (m);Alexander
colombien;kolumbianisch
bartsie des Alpes;Gemeiner Alpenhelm
l'épi (m);Ähre
l'ohm (m);Ohm
le tungstène;Wolfram
la rouille;Rost
Saint-Vith;Sankt-Vith
innocent;albern / harmlos
cresson des chamois;Alpen-Gemskresse
géographique;erdkundlich, geographisch
le requin;Hai, Haifisch
viscaire;Pechnelke
la sortie;Ausgang / Aufwand, Ausgabe, Auslage
les Hébrides;die Hebriden
l'absinthe (f);Wermut
le clown;Spaßmacher, Clown
le kimono;Kimono
babillarde;Schwätzerin, Quasselstrippe
le fascisme;Faschismus
le minerai;Erz
l'infanterie (f);Infanterie
avide;begierig, habgierig, lüstern
cuire à l'étouffée;schmoren
le fusain;Pfaffenhütchen
le parterre des fleurs;Blumenbeet
le vernis;Glasur
la sauge;Salbei
rayonner;strahlen, ausstrahlen
confesser;anerkennen, beichten, gestehen, eingestehen
la taxe d'octroi, le droit de régie;Verbrauchssteuer
continuellement;fortwährend, dauerhaft / immer, stets / unaufhörlich
algébrique;algebraisch
le cercle;Kreis / Bezirk, Runde
aveuglément, à l'aveuglette, en aveugle;blindlings
affronter;konfrontiert sein (mit), gegenüberstehen / widerstehen
le chevreuil;Reh
le Valais;das Wallis
héron (m);Reiher
bardane;Klette
l'épicéa (m);Tanne, Edeltanne
l'ozone (m);Ozon
bakélite;Bakelit
l'Ecossais (m);Schotte
la vertèbre;Wirbel, Wirbelknochen
la tactique;Taktik
tarder;sich verspäten
dissolu;ausschweifend
abdiquer;abdanken / abtreten, nachgeben, weichen / ablassen / Abdikation, Abdankung
le revolver;Revolver
hypnose (f);Hypnose
le bouillon;Bouillon, Brühe, Fleischbrühe
arracher;ausreißen, entwurzeln
ah;oh! / ah, ach
le Capitole;Kapitol
accumuler;anhäufen, ansammeln
la tige;Stengel
sermonner;vermahnen, zureden / schelten, vorwerfen, Vorwürfe machen
se débrouiller;sich herauswinden
zambien;sambisch
convenablement;zurecht
l'apôtre (m);Apostel
la fesse;Gesäßbacke, Hinterbacke
Wurtembergeois;Württemberger
le sermon;Predigt
intellectuel;intellektuell
consumer, consommer;abnutzen, aufzehren, konsumieren, verbrauchen, zehren, verzehren
le babil, le babilage, le bavardage;Geplauder
ondoyer, vaciller;flackern
la majesté;Majestät
le duché;Herzogtum
orthodoxe;orthodox, rechtgläubig, strenggläubig
la Lituanie;Litauen
alcali;Laugensalz, Alkali
emprunter sur gages;lombardieren
arrimer;verstauen, stauen
synthétique;synthetisch
le clairon;Signalhorn, Zinke
l'enfant adoptif (m), le fils adoptif;Adoptivkind
aérien;luftig, Luft-
orchis globuleux;Alpen-Kugelorchis
humilier;demütigen, erniedrigen
le Maroc;Marokko
le servage;Frondienst, Leibeigenschaft
l'Océanie (f);Ozeanien
la rapière;Florett, Rapier, Stoßdegen
l'autonomie (f);Autonomie, Selbstgesetzgebung, Selbstverwaltung
la cigale;Zikade
violette éperonnée;Sporn-Veilchen
affecté;geziert, gekünstelt
le nickel;Nickel
inscrire;buchen, einschreiben, eintragen, verschreiben
atrophie;Athrophie, Darrsucht, Verkümmerung
l'acompte (m);Anzahlung, Vorschuss
la métallurgie;Metallurgie
le ballet;Ballett
géométrique;geometrisch
forger;schmieden
le pêcheur;Fischer
la Carthage;Karthago
affilier;sich anschließen
le pivot;Drehpunkt
La Calamine;Kelmis
le genèvrier;Wacholder
la superstition;Aberglaube
epervière orangée;Orangerotes Habichtskraut
le prétexte;Ausflucht, Vorwand
l'écueil (m), le récif;Klippe, Riff
abdominal;den Unterbauch betreffend
la condition;Bedingung, Klausel, Vorbehalt
le protectionnisme;Protektionismus
le critique;Rezension
le plumage;Gefieder
pincer;kneifen, zwicken
l'abstinence (f);Abstinenz, Enthaltsamkeit
la ruelle;Gasse
Altwies;Altwies
provisoire, temporaire;Interim-, provisorisch
l'astrologue (m/f);Astrologe, Sterndeuter
le lamier;Taubnessel
l'aloès (f);Aloe
bactériophage;Bakteriophage
Hercule (m);Herkules
l'éponge (f);Schwamm
Singapour;Singapur
Bastogne;Bastnach
la thèse;These
hélium (m);Helium
l'accompagnement (m);Begleitung / Geleit
le rébus;Bilderrätsel / Rebus
le Marocain;Marokkaner
grassette des Alpes;Alpen-Fettkraut
l'amphibie (m);Amphibie, Lurch
le serviteur;Bursche, Diener, Gehilfe
l'arbuste (m);Gebüsch, Staude, Strauch
le faucon;Falke
affranchissement;Entsatz
le léopard;Leopard
l'électron (m);Elektron
hydrogène (m);Wasserstoff
la Sicile;Sizilien
l'ortie (f);Brennessel
la Mandchourie;Mandschurei, die Mandschurei
jaillir;spritzen
parsemer;zerstreuen / ausschütten, streuen, verschütten / punktieren
manier;handhaben, manipulieren
angolais;angolanisch
le rite;Ritus
le Turkménistan;Turkmenistan
l'invasion (f);Invasion
la nostalgie;Heimweh
boucler;gürten, umgürten, umringen
ramper;kriechen
le multiple;Vielfaches
la stratégie;Strategie
ravir;rauben, berauben, plündern / bezaubern, entzücken, verzücken / anmuten
le photographe;Photograph
l'ail (m);Knoblauch, Lauch
l'antilope (f);Antilope
la propagande;Propaganda
l'analogie (f);Analogie
le Monaco;Monaco
hymen (m);Jungfernhäutchen, Schutzhäutchen, Hymen
astéroïde;Asteroide
la fable;Fabel
gonfler;schwellen, strotzen
le glaïeul;Siegwurz, Gladiole
le Nabuchodonosor;Nebukadnezer
étouffant;erstickend, schwül, Stick-, stickig
la Guinée Equatoriale;Äquatorialguinea
la charpente;Gebälk
bolivien;bolivianisch
le Saxon;Sachse
bazar;Basar, Markt, Warenhaus
la collision;Kollision
verser;gießen, schütten
approbatif, approbateur;billigend
la moule;Miesmuschel
le laiton;Messing
la fortune;Verhängnis, Schicksal, Fatum, Geschick / Reichtum / Fügung, Los
l'archipel (m);Inselgruppe, Archipel / Inselmeer
le frêne;Esche
l'axiome (m);Axiom, Grundsatz, Grundwahrheit
le lest, le ballast;Ballast
la feuille de métal;dünne Platte, dünne Schicht
le corsage;Korsage, Mieder, Leibchen
imparfait;unvollkommen
polonais;polnisch
illettré;nicht alphabetisiert
le lichen;Flechte
le poignet;Handgelenk
la devise, l'épigraphe (f);Motto
l'abricotier (m);Aprikose, Marille, Aprikosenbaum
rompre;brechen, abbrechen, aufbrechen
le contrôleur;Aufseher, Führer, Schaffner
la vitesse;Eile, Geschwindigkeit, Hast
démanger;jucken
baratter;buttern
l'érable (m);Ahorn
la précaution;Vorsorge / Umsicht
le Cerbère;Höllenhund, Zerberus
la nouvelle;Novelle
l'abnégation (f);Aufopferung, Entsagung, Verleugnung
taïs, siamois, taïlandais;thailändisch
le condom, le préservatif;Pariser, Kondom
le comble;First, Gipfel, Wipfel / Sparren
l'alibi (m);Alibi
la phase;Phase
la brèche;Bresche, Lücke
l'avoine (f);Hafer
l'oasis (f);Oase
l'Ariane (f);Ariadne
l'absolutisme (m);Absolutismus
le mamelon;Brustwarze
hyène (f);Hyäne
l'imbécile (m);Imbezille
le patriote;Patriot
l'oubli (m);Vergessenheit
l'observation (f);Ermahnung, Zuspruch / Aufsicht / Anschauung / Bemerkung, Beobachtung, Vermerk
le Saint-Marin;San Marino
la jungle;Dschungel
le fiel, la bile;Galle
le quartz;Quarz
lupine, louve;Wölfin
apprivoiser;zähmen
le pédophilie;Pädophilie
s'allumer;entbrennen, zünden
hangar (m);Flughalle, Hangar
gronder;vermahnen, zureden / bevorstehen, drohen / brausen, sausen, zischen / schelten, vorwerfen, Vorwürfe machen
Basque;baskisch
Hindou (m);Hindu
le rameau;dünner Zweig, Ästchen / Wedel
au moyen de;durch, mit, vermittels
la Babylone;Babylon
pâquerette de Micheli;Alpen-Maßlieb
l'ambulance (f);Ambulanz
le Caïn;Kain
le luxe;Aufwand, Luxus
la maison royale, la dynastie;Dynastie, Herrschergeschlecht
prussien;preußisch
relâcher;verankern / befreien, entledigen, erledigen, freilassen, frei machen
broyer, piler;kleinstoßen, zermalmen, zerstampfen, zerstoßen
dévoyer;verführen, verlocken
l'alchimie (f);Alchemie, Alchimie
le myriapode;Skolopender, Bandassel, Tausendfuß
le Tibre;Tiber
le piège;Falle
le lac de Garde;Gardasee
ampère;Ampère
adjudication;Lieferungsausschreibung, Verdingung
être en feu;brennen, glühen
séneçon;Greiskraut, Kreuzkraut
la Gaule;Gallien
la craie;Kreide
hérisser;anfeuern, aufregen, anregen, ermutigen, erregen / verstrubbeln, sträuben / ärgern, erbittern, erzürnen
le plâtre;Gips
se lamenter;jammern, lamentieren
bafouilleur, bègue;Stotterer
le bordel;Bordell
le ski;Schi
la tâche, le devoir;Arbeit, Aufgabe, Pensum
saboter;sabotieren
sans faute;absolut, ausdrücklich, durchaus, unausbleiblich, unfehlbar
l'incendie (m);Großbrand, Feuersbrunst
le crochet;Angel, Haken
raccommoder, boucher;stopfen, verstopfen, zustopfen
anabaptiste;Wiedertäufer
le foin;Heu
la boisson, la consommation;Getränk, Trank
le végétal;Gewächs
l'amputation (f);Amputation
la ficelle;Strippe
drainer;drainieren, entwässern
le pinceau;Pinsel, Quast
la groseille;Stachelbeere / Johannisbeere
le bar;Schranke / Büfett, Schankraum
gypaète;Lämmergeier
la gloire;Berühmtheit / Verdienst / Prestige, Ansehen, Geltung
le triomphe;Triumph
la Toussaint;Allerheiligen
la foule;Gedränge / Haufen, Menge, Stapel
la rentrée, le retour;Wiederkehr
l'automate (m);Automat
le rectangle;Rechteck
le Chilien;Chilene
haie (f);Hecke
la possession;Ansiedlung, Kolonie / Besitz, Besitztum, Besitzung, Eigentum, Gut
commander;bestellen / anordnen, befehlen, gebieten, verordnen, vorschreiben
crier;blöken, brüllen, quaken, wiehern / schreien
la valise;Handkoffer
le renne;Rentier
la machine à écrire;Schreibmaschine
faux-buis;Alpen-Zwergbuchs
belladone;Tollkirsche
bactériologiste;Bakteriologe
le Bruxelles;Brüssel
la descendance;Generation, Nachkommenschaft, Nachwuchs
l'Euphrate (m);Euphrat
le zéro;Null
marocain;marokkanisch
assimiler;ähnlich machen, assimilieren
appétissant;appetitlich
saxifrage;Steinbrech
hydre;Hydra, Wasserschlange
l'autocrate (m);Autokrat, Selbstherrscher
rédiger;redigieren, stilisieren
ayant le mal de l'air;luftkrank
l'anecdote (f);Anekdote
le testicule;Hoden
aboulique;willenlos
le couvent;Kloster
le coussin d'air;Luftkissen
letton;lettisch
faillible;fehleranfällig, fehlbar
Hippocrate (m);Hippokrates
le bison;Bison
antichambre;Warteraum, Wartesaal
la citerne;Behälter, Zisterne
l'Assyrien (m);Assyrer
le mal de mer;Seekrankheit
gratter;kratzen, ritzen / schaben, radieren
entraîner;abtragen, fortbringen, wegtragen / zusammenziehen
la mystique;Mystik
l'ambiance (f);Atmosphäre, Stimmung
saturer;sättigen
l'épine (f);Dorn, Stachel / Rückgrat
le mortier;Mörtel
le façade;Fassade
la Corse;Korsika / Korsin
le mandat;Auftrag, Mandat
le Berlinois;Berliner
daltonnien;farbenblind
l'iris (m);Schwertlilie
la transition, le passage;Übertritt
le fossé;Graben
la caserne;Kaserne
ligustique mutellina;Alpen-Mutterwurz
la Brême;Bremen
dériver;ableiten, herleiten
le mica;Glimmer
Achéron;Acheron
la pyramide;Pyramide
la girafe;Giraffe
anode;Pluspol, Anode
désobéissant;widerspenstig
l'éruption (f);Ausbruch, Eruption
la fougère;Farn, Farnkraut
Bernister;Rotenberg
bâtonner;prügeln
l'auberge (f);Herberge, Wirtschaft, Wirtshaus
la Fortune;Fortuna
primaire;elementar
l'acacia (m);Akazie
dévaluer;abwerten
l'arc (m);Bogen, Bügel
le verbe;Verb, Zeitwort
le poids;Gewicht, Wucht
aromatique;wohlriechend, aromatisch
endurer, souffrir;aushalten, dulden, erdulden, ertragen, leiden, erleiden
Ensisheim;Ensisheim
le képi;Käppi
le strontium;Strontium
le flocon de neige;Schneeflocke
le rayon;Brett, Regal, Wandbrett / Strahl / Halbmesser, Radius, Speiche / Strahlen, Halbgerade, Radioapparat, Radio, Radiogerät, Rundfunkempfänger, Rundfunkgerät
pourrir;faulen, verfaulen, vermodern, verwesen
aiglefin;Schellfisch
l'imprimerie (f);Typographie
foncer;trüben, verdunkeln
tisser;schlingen, winden, flechten / weben, wirken
translucide;durchscheinend
massif;massiv
la ramure;Geweih
la présentation;Beitritt
l'aphorisme (m);Gedankensplitter
la mésange;Meise
inerte;träge / entseelt
le spectacle de variété;Varieté, Varietéprogramm
la belette;Wiesel
lyncher;lynchen
le droguiste;Drogist
aconit tue-loup;Wolfs-Eisenhut
dorer;vergolden
l'ambroisie (m);Ambrosia, Götterspeise
le goudron;Teer
asthmatique;asthmatisch
le balancier;Pendel
épargner, économiser;erübrigen, sparen, ersparen
ultra-moderne;supermodern, ultramodern
le Mammon;Mammon
la Galles, le pays de Galles;Wales
l'objection (f);Einwand, Widerrede
artériel;arteriell
approuver;billigen, genehmigen, gutheißen
le succès;Erfolg, Gelingen
la maison close, le lupanar;Bordell
le Cicéron;Cicero
gracieux;graziös, hold, zierlich
le Gange;Ganges
monégasque;monegassisch
le rame de papier;Ries
le tarif;Tarif
le typhus;Typhus
l'Arménienne (f);Armenierin
l'autodafé (m);Glaubensgericht, Glaubenshandlung
l'anguille (f);Aal
obscurcir;verdunkeln, verfinstern
l'inceste (m);Inzest
la loterie;Lotterie, Lotto, Tombola
le Néo-Zélandais;Neuseeländer
le Flamand;Flame
aster;Aster
gymnadène blanchâtre;Alpen-Weißzunge
déclarer;deklarieren
berlinois;berliner, berlinerisch
le lieutenant;Leutnant
la cretonne;Cretonne
la torture;Marter, Pein, Tortur, Qual, Folter
soudanais;sudanesisch
la parenthèse;Klammer
le navet;Kohlrübe
astérie;Seestern
le talon d'Achille;Achillesferse
sans doute;zweifelsohne
l'Atlantide (f);Atlantis
le plafond;Decke, Zimmerdecke
le cygne;Schwan
abouler, bailler;erteilen, geben, herreichen
trèfle des Alpes;Alpen-Klee
la solidarité;Solidarität
avant-garde;Vorausabteilung, Vortrupp, Trendsetter, Späher, Avantgarde, Spähabteilung
le monstre;Ungeheuer, Ungetüm, Unhold
la sole;Seezunge
Enscherange;Enscheringen
la peluche;Plüsch
anarchique;anarchistisch
Bas-Rhin;Unterelsaß
le scrupule;Skrupel
la noix;Walnuss / Nuss
la rainure;Einschnitt
le tableau d'affichage, le panneau d'affichage;Anschlagbrett, Anschlagebrett
tendre un piège, comploter;auflauern, nachstellen
la violette;Veilchen
campanule barbue;Bärtige Glockenblume
tapisser;tapezieren / beziehen, überziehen
rosage;Almrausch
baragouin;verworrenes Gerede, Galimathias, Kauderwelsch
le pavé;Pflaster
la Bermudes;die Bermudas
le Japonais;Japaner
méditerranéen;mittelmeerisch
le parasite;Parasit, Schmarotzer
Nobressart;Elcheroth
dorien, dorique;dorisch
hypothécaire;hypothekarisch
l'Aryen (m);Arier
le tribunal;Tribunal
la cuisse;Schenkel, Oberschenkel
hysope (f);Ysop
l'orgasme (m);Höhepunkt, Orgasmus
le renard;Fuchs
la compagnie;Gesellschaft / Rotte, Kompanie
marcher dans l'eau;waten
se débattre;sich sträuben, zappeln
Lembecq;Lembeck
l'enterrement (m);Begräbnis / Beisetzung
le whisky;Whisky
les guillemets;Anführungsstriche, Gänsefüßchen, Anführungszeichen
la Galicie;Galizien
accourir;herbeilaufen
prêcher;predigen
laïque;nichtkirchlich / laienhaft
l'avance (f);Fortkommen
l'arrière-petit-fils (m);Großenkel, Urenkel
la morphine;Morphium
la visite;Besuch, Visite
stimuler;anregen, reizen, anreizen, stimulieren
le débarcadère;Landungsbrücke, Bootssteg
croate;kroatisch
le rat;Ratte
la Forêt-Noire;Schwarzwald
Forbach;Forbach
adopter;adoptieren / auslesen, wählen, auswählen, erwählen / an Kindes statt annehmen
le Kremlin;der Kreml
Grenade;Grenada
le retraité;Emeritus
acclimatation, acclimatement;Gewöhnung, Akklimatisierung
la brique;Backstein, Ziegel, Ziegelstein
la sangsue;Egel, Blutegel
l'Adam (m);Adam
l'Alep (m);Aleppo
la Cypriote, la Chypriote;Zypriotin
le vieillard;Greis
discret;diskret, verschwiegen
la Genèse;Genesis
tourmenter;martern, peinigen, quälen
hurluberlu (m);Wunderling
népalais;nepalesisch
la nageoire;Flosse
hectogramme (m);Hektogramm
la municipalité;Magistrat
le tyran;Tyrann, Wüterich
la mélancolie;Melancholie, Schwermut, Tiefsinn, Trübsinn, Wehmut
frémir, frissonner;gruseln
abonder;reichlich vorhanden sein
le barbier;Barbier
raffiner;raffinieren, verfeinern
le pseudonyme;Pseudonym, Deckname
androsace de Suisse;Schweizer Mannsschild
récompenser;lohnen, belohnen, vergelten
l'entonnoir (m);Trichter
le refrain;Refrain
avoir soif;dürsten
le Tage;Tajo
crépide dorée;Gold-Pippau
le crétin;Schwachsinniger
perséverer, persister;audauern, aushalten, beharren, bestehen, verharren
antimoine;Antimon, Antimonium
chamorchis des Alpes;Zwergorchis
le panorama;Aussicht, Panorama
le notaire;Notar
le propagandiste;Propagandist
les Dardanelles;Dardanellen
le bassin;Becken, Schale
le boa;Boa, Riesenschlange
la piété;Frömmigkeit, Gottesfurcht
daphné strié;Gestreifter Seidelbast, Steinröschen
la Vienne;Wien
la planète;Planet
l'échalas (m);Pfahl, Zaunpfahl
les montagnes Rocheuses;Rocky Mountains
alterner;sich ablösen
certainement, assurément;allerdings, freilich, gewiss, immerhin, wohl, zwar
le Mathusalem;Methusalem
le pharmacien, l'apothicaire (m);Apotheker
le tank;Panzer
horreur (f);Abscheu
le préfet;Amtmann, Präfekt
gentiane des neiges;Schnee-Enzian
le grillon;Grille, Heimchen
l'achillée (f);Schafgarbe
le prototype;Prototyp, Urbild
la mamelle;Brust, Mutterbrust
le maximum;Maximum
aine;Leiste (Anatomie)
le pieu;Pfeiler, Pfosten / Pfahl, Zaunpfahl
hygromètre (m);Hygrometer, Feuchtigkeitsmesser
le dirigeable;Luftschiff
la paire;Paar, geordnetes Paar
le florin;Gulden
pleine, enceinte;schwanger, trächtig
le sceau;Siegel
le châle;Shawl, Umschlagetuch
la médaille;Medaille
le supplément;Supplementwinkel, Ergänzung, Supplement, Zusatz
la piqûre;Pik, Stich
l'allumette (f);Streichholz, Zündholz
l'Argonaute (m);Papierboot
le Diogène;Diogenes
admonester, exhorter;vermahnen, zureden
d'Afrikanders;kapholländisch, afrikanisch
le poignée de main;Händedruck
Mercure;Merkur
le limon, la bourbe;Schlamm
faire tournoyer;quirlen
diviser;entzweien, scheiden / dividieren, teilen, einteilen, gliedern, verteilen, zerlegen
le Pékin;Peking
acrostiche;Akrostikon
californien;kalifornisch
l'apiculture (f);Bienenzucht
la Silésie;Schlesien
le Prussien;Preuße
gothique;gotisch
la pivoine;Pfingstrose
l'Australienne (f);Australierin
la gouttière;Ausguss, Traufe
tozzie des Alpes;Gemeiner Alpenrachen
le Verseau;Wassermann
le babouin;Pavian
la mite;Motte
le puits de mine;Schacht
la tourterelle;Turteltaube
le sirop;Sirup
labourer;pflügen
accouplement;Union
généreux;freigebig / opferbereit, freigiebig
la providence;Vorsehung
trotter;traben, trotten
calomnier, diffamer;anschwärzen, fälschlich beschuldigen, verleumden
sceller;siegeln, versiegeln
le saule;Weide
l'étamine (f);Staubblatt
l'Arménien (m);Armenier
le protocole;Protokoll
accoucher;entbinden
about, la goupille;Stift
dominer;bewältigen, überflügeln, übersteigen, überragen, übertreffen / vorherrschen
wurtembergeois;württembergisch
l'accent circonflexe (m);Zirkumflex
acaule;stengellos
hydrate (m);Hydrat
pieux;fromm, gottesfürchtig
la laurier-rose;Oleander
avortement spontané;Fehlgeburt
atoll;Atoll
massacrer;massakrieren
l'astrologie (f);Astrologie, Sterndeutung
le césium;Cäsium
étendre;verdünnen, verfälschen, panschen / ausbreiten, ausrecken, strecken, ausstrecken, erstrecken / betten / schmieren
la Poméranie;Pommern
le raifort;Meerrettich / Rettich
le soufre;Schwefel
manœuvrer, intriger;manövrieren
l'aérolithe (m);Meteorstein
maussade;langweilig / brummig, unwirsch / widerwärtig / düster
le gnome;Gnom
dépenser;auslegen, verausgaben
le miel;Honig
le torse;Torso
le torchon;Wischtuch
scintiller;flackern / glitzern, flimmern
assoupir;einschläfern, betäuben
le pingouin;Pinguin
la Tunesie;Tunesien
le cèdre;Zeder
la pénitence;Buße
l'aérostat (m);Ballon, Luftballon
absolument;absolut, unbedingt / ausdrücklich, durchaus, unausbleiblich, unfehlbar
l'embarras (m);Verlegenheit, Problem, Enge, Not
abasourdir;betäuben / bestürzt machen, in Bestürzung versetzen, konsternieren
septique;septisch
